filename;TotalPeopleInBurst;MaximumChangeBurstLate;NumberOfChanges;MaxPeopleInBurst;TotalBurstSizeLate;NumberOfChangeBurstsLate;NumberOfChangesLate;NumberOfChangesEarly;MaxChurnInBurst;MaximumChangeBurstEarly;NumberOfChangeBurstsEarly;TimeFirstBurst;TotalChurnInBurst;ChurnTotal;MaximumChangeBurst;NumberOfConsecutiveChangesEarly;NumberOfConsecutiveChangesLate;TotalBurstSizeEarly;TotalBurstSize;TimeMaxBurst;NumberOfConsecutiveChanges;TimeLastBurst;NumberOfChangeBursts;PeopleTotal;bugs
org.eclipse.swt.internal.motif;1;0;11;1;0;0;0;11;5373;10;2;7;5702;62;10;9;0;11;11;7;9;35;2;2;0
org.eclipse.core.internal.model;1;0;4;1;0;0;0;4;180;0;1;30;180;8;4;3;0;4;4;30;3;30;1;1;0
org.eclipse.ant.internal.core;1;0;3;1;0;0;0;3;63;2;2;9;67;39;2;1;0;3;3;32;1;32;2;1;1
org.eclipse.swt.internal.ole.win32;2;0;4;1;0;0;0;4;641;3;2;5;1011;105;3;2;0;4;4;5;2;35;2;2;0
org.eclipse.update.internal.ui;0;0;8;0;0;0;3;5;289;5;2;9;321;0;5;3;3;8;8;36;6;36;2;0;1
org.eclipse.swt.events;1;0;3;1;0;0;0;3;352;2;2;21;384;36;2;1;0;3;3;21;1;35;2;1;1
org.eclipse.jdt.internal.ui.text.template.preferences;3;0;4;3;0;0;1;3;104;0;1;35;104;56;4;2;1;4;4;35;3;35;1;3;0
org.eclipse.help.ui.internal.search;0;0;3;0;0;0;0;3;188;0;1;29;188;0;3;2;0;3;3;29;2;29;1;0;0
org.eclipse.help.internal.context;1;0;5;1;0;0;0;5;58;2;3;8;154;8;2;2;0;5;5;8;2;34;3;1;0
org.eclipse.team.internal.ui.synchronize;1;0;5;1;0;0;0;5;336;4;2;3;428;534;4;3;0;5;5;3;3;35;2;2;1
org.eclipse.jface.text.contentassist;2;0;13;2;0;0;3;10;2469;0;1;5;2469;56;13;9;3;13;13;5;12;5;1;2;0
org.eclipse.pde.internal.ui.wizards.templates;3;0;8;2;0;0;0;8;1160;6;2;8;1275;143;6;6;0;8;8;18;6;18;2;3;0
org.eclipse.ui.externaltools.internal.menu;1;0;2;1;0;0;0;2;16;1;2;11;24;24;1;0;0;2;2;11;0;35;2;1;0
