"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"bugs"
"125";"org.eclipse.search.ui.text";0;0;4;0;0;0;0;4;0;0;0;-1;0;23;0;0;0;0;0;-1;0;-1;0;3;0
"126";"org.eclipse.ui.editors.text";0;0;6;0;0;0;2;4;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
"127";"org.eclipse.ui.internal.actions";0;0;7;0;0;0;0;7;0;0;0;-1;0;159;0;3;0;0;0;-1;3;-1;0;3;1
"128";"org.eclipse.ui.wizards.newresource";0;0;8;0;0;0;1;7;0;0;0;-1;0;0;0;5;0;0;0;-1;5;-1;0;0;0
"129";"org.eclipse.core.internal.resources.mapping";0;0;3;0;0;0;1;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;1;0
"130";"org.eclipse.ui.ide.dialogs";0;0;7;0;0;0;2;5;0;0;0;-1;0;2;0;2;0;0;0;-1;2;-1;0;2;1
"131";"org.eclipse.jface.text.templates";0;0;8;0;0;0;3;5;0;0;0;-1;0;0;0;2;1;0;0;-1;3;-1;0;0;0
"132";"org.eclipse.jdi.internal.spy";0;0;4;0;0;0;0;4;0;0;0;-1;0;8;0;1;0;0;0;-1;1;-1;0;1;0
"133";"org.eclipse.jface.action";0;0;3;0;0;0;0;3;0;0;0;-1;0;1129;0;1;0;0;0;-1;1;-1;0;3;4
"134";"org.eclipse.pde.internal.core.ifeature";0;0;3;0;0;0;0;3;0;0;0;-1;0;14;0;1;0;0;0;-1;1;-1;0;1;0
"135";"org.eclipse.ui.texteditor.spelling";0;0;8;0;0;0;2;6;0;0;0;-1;0;42;0;3;0;0;0;-1;3;-1;0;2;0
"136";"org.eclipse.team.internal.core.streams";0;0;2;0;0;0;0;2;0;0;0;-1;0;6;0;1;0;0;0;-1;1;-1;0;1;0
"137";"org.eclipse.team.internal.ccvs.ui.operations";0;0;13;0;0;0;0;13;0;0;0;-1;0;208;0;6;0;0;0;-1;6;-1;0;1;5
"138";"org.eclipse.jdt.internal.compiler";0;0;7;0;0;0;0;7;0;0;0;-1;0;0;0;3;0;0;0;-1;3;-1;0;0;9
